ticket_id,created_at,accepted_at,resolved_at,category,type,description,priority,assigned_to,initiator,approver,stage
ITHD_2000086,2026-02-23 14:09:42,2026-02-23 14:29:42,2026-02-23 21:33:26,Сетевое оборудование,Ремонт,"Требуется настройка VPN-подключения для удалённой работы нового сотрудника",Средний,"Петрова Светлана Константиновна","Волкова М.Д.","Семенова Н.Г.",Закрыт
ITHD_2000029,2025-10-21 22:07:53,2025-10-21 22:41:53,2025-10-22 03:06:30,Программное обеспечение,Ремонт,"Требуется настройка VPN-подключения для удалённой работы нового сотрудника",Средний,"Иванов Алексей Николаевич","Соколова О.П.","Семенова Н.Г.",Закрыт
ITHD_2000171,2025-12-04 18:50:48,2025-12-04 19:11:48,2025-12-05 01:22:54,Компьютеры и периферия,Ремонт,"Настройка двухфакторной аутентификации для входа в корпоративную ERP-систему",Критичный,"Сидоров Владимир Григорьевич","Кузнецов А.В.","Семенова Н.Г.",Закрыт
ITHD_2000015,2026-01-13 09:26:03,2026-01-13 10:04:03,,Программное обеспечение,Консультация,"Замена вышедшего из строя блока питания в рабочей станции инженерного отдела",Высокий,"Иванов Алексей Николаевич","Кузнецов А.В.","Романов А.И.",Создание заявки
ITHD_2000010,2026-04-15 21:18:38,2026-04-15 21:49:38,2026-04-16 11:30:36,Телефония,Запрос,"Проблема с запуском специализированного ПО AutoCAD, ошибка лицензирования",Высокий,"Иванов Алексей Николаевич","Соколова О.П.","Семенова Н.Г.",Закрыт
ITHD_2000339,2025-12-20 14:33:31,2025-12-20 15:09:31,2025-12-20 18:50:16,Доступ и права,Консультация,"Перенос пользовательских данных и настроек с устаревшего компьютера на новый",Средний,"Морозов Дмитрий Олегович","Жуков С.Н.",,Закрыт
ITHD_2000215,2025-11-12 09:54:52,2025-11-12 10:10:52,2025-11-12 14:56:21,Сервер и СХД,Настройка,"Перенос пользовательских данных и настроек с устаревшего компьютера на новый",Низкий,"Сидоров Владимир Григорьевич","Попова Е.С.","Романов А.И.",Закрыт
ITHD_2000408,2026-03-28 18:03:48,2026-03-28 18:46:48,2026-03-29 00:30:03,Телефония,Консультация,"Настройка двухфакторной аутентификации для входа в корпоративную ERP-систему",Высокий,"Новикова Регина Вячеславовна","Николаев В.К.",,Закрыт
ITHD_2000039,2026-02-27 14:26:23,2026-02-27 15:00:23,2026-02-28 03:05:10,Сервер и СХД,Запрос,"Подключение нового ноутбука к корпоративному Wi-Fi, проблема с аутентификацией",Высокий,"Иванов Алексей Николаевич","Соколова О.П.","Федоров Е.М.",Закрыт
ITHD_2000081,2026-04-10 13:38:07,2026-04-10 14:14:07,2026-04-10 20:04:25,Доступ и права,Настройка,"Восстановление случайно удалённых файлов проекта из резервной копии NAS",Низкий,"Петрова Светлана Константиновна","Смирнов И.И.",,Закрыт
ITHD_2000415,2025-10-25 17:24:53,2025-10-25 17:42:53,2025-10-25 23:33:35,Телефония,Выдача и установка,"Проблема с запуском специализированного ПО AutoCAD, ошибка лицензирования",Низкий,"Новикова Регина Вячеславовна","Жуков С.Н.","Федоров Е.М.",Решён
ITHD_2000422,2025-12-24 14:56:07,2025-12-24 15:09:07,2025-12-24 18:41:22,Сервер и СХД,Консультация,"Неисправен монитор, вертикальная полоса на экране, требуется замена",Критичный,"Новикова Регина Вячеславовна","Захарова Л.А.","Федоров Е.М.",Закрыт
ITHD_2000470,2026-04-03 10:19:10,2026-04-03 11:04:10,2026-04-03 16:37:35,Программное обеспечение,Выдача и установка,"Сотрудник не может войти в систему 1C после смены пароля, блокировка учётной записи",Средний,"Михайлов Тимур Павлович","Николаев В.К.","Романов А.И.",Закрыт
ITHD_2000208,2026-02-10 18:19:15,2026-02-10 18:53:15,2026-02-10 21:27:50,Сетевое оборудование,Ремонт,"Перенос пользовательских данных и настроек с устаревшего компьютера на новый",Низкий,"Сидоров Владимир Григорьевич","Соколова О.П.",,Закрыт
ITHD_2000076,2026-01-08 18:25:13,2026-01-08 18:38:13,2026-01-09 03:14:43,Сетевое оборудование,Запрос,"Установка и обновление антивирусного ПО на рабочих станциях отдела кадров",Низкий,"Петрова Светлана Константиновна","Попова Е.С.","Романов А.И.",Закрыт
ITHD_2000218,2026-03-22 14:54:04,2026-03-22 15:17:04,2026-03-22 21:01:30,Сетевое оборудование,Выдача и установка,"Сбой RAID-массива на файловом сервере, необходима диагностика и восстановление",Средний,"Сидоров Владимир Григорьевич","Орлова Д.Ю.","Семенова Н.Г.",Закрыт
ITHD_2000089,2025-10-28 08:43:26,2025-10-28 09:04:26,2025-10-28 17:33:16,Сетевое оборудование,Инцидент,"Перенос пользовательских данных и настроек с устаревшего компьютера на новый",Средний,"Петрова Светлана Константиновна","Волкова М.Д.",,Закрыт
ITHD_2000212,2026-01-11 14:58:48,2026-01-11 15:26:48,2026-01-11 19:17:44,Сервер и СХД,Ремонт,"Добавление нового пользователя в Active Directory и настройка групповых политик",Средний,"Сидоров Владимир Григорьевич","Соколова О.П.","Семенова Н.Г.",Закрыт
ITHD_2000088,2026-04-10 15:45:38,2026-04-10 16:05:38,2026-04-11 00:29:04,Программное обеспечение,Ремонт,"Настройка двухфакторной аутентификации для входа в корпоративную ERP-систему",Средний,"Петрова Светлана Константиновна","Волкова М.Д.","Федоров Е.М.",Закрыт
ITHD_2000245,2026-02-05 16:09:35,2026-02-05 16:37:35,2026-02-05 23:27:40,Программное обеспечение,Выдача и установка,"Медленная работа корпоративной сети в отделе закупок, скорость менее 1 Мбит/с",Средний,"Козлова Елена Анатольевна","Волкова М.Д.","Романов А.И.",Закрыт
ITHD_2000275,2026-02-22 13:42:04,2026-02-22 14:25:04,2026-02-22 20:11:16,Компьютеры и периферия,Запрос,"Обновление прошивки сетевого коммутатора в серверной комнате, плановые работы",Низкий,"Козлова Елена Анатольевна","Захарова Л.А.","Романов А.И.",Закрыт
ITHD_2000062,2026-03-05 22:58:26,2026-03-05 23:22:26,2026-03-06 10:54:07,Доступ и права,Консультация,"Подключение нового ноутбука к корпоративному Wi-Fi, проблема с аутентификацией",Критичный,"Иванов Алексей Николаевич","Орлова Д.Ю.","Семенова Н.Г.",Закрыт
ITHD_2000412,2026-03-09 10:19:36,2026-03-09 10:31:36,2026-03-09 15:09:55,Доступ и права,Запрос,"Установка и обновление антивирусного ПО на рабочих станциях отдела кадров",Средний,"Новикова Регина Вячеславовна","Кузнецов А.В.","Федоров Е.М.",Закрыт
ITHD_2000024,2025-11-11 11:59:24,2025-11-11 12:35:24,2025-11-11 18:26:47,Доступ и права,Ремонт,"Настройка двухфакторной аутентификации для входа в корпоративную ERP-систему",Низкий,"Иванов Алексей Николаевич","Волкова М.Д.","Семенова Н.Г.",Закрыт
ITHD_2000437,2026-04-09 14:29:35,2026-04-09 15:05:35,2026-04-09 22:00:16,Телефония,Запрос,"Сбой RAID-массива на файловом сервере, необходима диагностика и восстановление",Высокий,"Михайлов Тимур Павлович","Попова Е.С.","Романов А.И.",Закрыт
ITHD_2000290,2026-02-11 14:34:57,2026-02-11 14:49:57,2026-02-11 18:32:08,Компьютеры и периферия,Выдача и установка,"Восстановление случайно удалённых файлов проекта из резервной копии NAS",Средний,"Морозов Дмитрий Олегович","Жуков С.Н.","Семенова Н.Г.",Закрыт
ITHD_2000013,2025-11-26 17:33:39,2025-11-26 18:08:39,2025-11-27 00:14:55,Программное обеспечение,Инцидент,"Подключение нового ноутбука к корпоративному Wi-Fi, проблема с аутентификацией",Средний,"Иванов Алексей Николаевич","Беляев Р.Т.","Федоров Е.М.",Закрыт
ITHD_2000299,2026-01-02 11:15:30,2026-01-02 11:18:30,2026-01-02 13:35:37,Сетевое оборудование,Настройка,"Расширение прав доступа к файловому серверу для группы аналитиков данных",Средний,"Морозов Дмитрий Олегович","Жуков С.Н.","Семенова Н.Г.",Решён
ITHD_2000271,2025-12-31 09:33:39,2025-12-31 09:53:39,2025-12-31 14:55:50,Сетевое оборудование,Консультация,"Требуется настройка VPN-подключения для удалённой работы нового сотрудника",Средний,"Козлова Елена Анатольевна","Захарова Л.А.",,Закрыт
ITHD_2000095,2025-12-25 14:06:07,2025-12-25 14:14:07,2025-12-25 18:53:20,Сетевое оборудование,Выдача и установка,"Обновление прошивки сетевого коммутатора в серверной комнате, плановые работы",Средний,"Петрова Светлана Константиновна","Смирнов И.И.","Федоров Е.М.",Закрыт
ITHD_2000313,2026-01-21 09:34:55,2026-01-21 09:43:55,2026-01-21 13:12:51,Сервер и СХД,Выдача и установка,"Добавление нового пользователя в Active Directory и настройка групповых политик",Критичный,"Морозов Дмитрий Олегович","Соколова О.П.","Семенова Н.Г.",Закрыт
ITHD_2000382,2025-12-07 09:40:30,2025-12-07 10:15:30,2025-12-07 14:24:20,Телефония,Инцидент,"Настройка почтового клиента Outlook для нового сотрудника отдела бухгалтерии",Критичный,"Новикова Регина Вячеславовна","Соколова О.П.","Семенова Н.Г.",Закрыт
ITHD_2000008,2026-02-08 13:15:35,2026-02-08 13:48:35,2026-02-09 00:35:45,Сетевое оборудование,Запрос,"Замена вышедшего из строя блока питания в рабочей станции инженерного отдела",Средний,"Иванов Алексей Николаевич","Соколова О.П.","Семенова Н.Г.",Закрыт
ITHD_2000322,2025-12-19 09:22:58,2025-12-19 09:39:58,2025-12-19 12:43:30,Сетевое оборудование,Настройка,"Не работает принтер в переговорной комнате 3, сотрудники не могут распечатать документы",Низкий,"Морозов Дмитрий Олегович","Захарова Л.А.","Федоров Е.М.",Закрыт
ITHD_2000140,2026-04-05 15:06:36,2026-04-05 15:39:36,2026-04-05 22:37:32,Доступ и права,Консультация,"Восстановление случайно удалённых файлов проекта из резервной копии NAS",Средний,"Петрова Светлана Константиновна","Жуков С.Н.",,Закрыт
ITHD_2000475,2026-03-19 15:23:46,2026-03-19 15:53:46,2026-03-19 19:13:04,Телефония,Консультация,"Не работает принтер в переговорной комнате 3, сотрудники не могут распечатать документы",Высокий,"Михайлов Тимур Павлович","Смирнов И.И.","Романов А.И.",Закрыт
ITHD_2000370,2025-12-04 09:04:29,2025-12-04 09:46:29,2025-12-04 12:01:17,Доступ и права,Настройка,"Не работает принтер в переговорной комнате 3, сотрудники не могут распечатать документы",Средний,"Новикова Регина Вячеславовна","Кузнецов А.В.","Романов А.И.",Закрыт
ITHD_2000353,2025-10-27 14:47:59,2025-10-27 15:13:59,2025-10-27 18:10:59,Доступ и права,Ремонт,"Восстановление случайно удалённых файлов проекта из резервной копии NAS",Средний,"Морозов Дмитрий Олегович","Жуков С.Н.","Романов А.И.",Решён
ITHD_2000469,2026-01-03 13:18:13,2026-01-03 13:27:13,2026-01-03 18:45:31,Сетевое оборудование,Консультация,"Медленная работа корпоративной сети в отделе закупок, скорость менее 1 Мбит/с",Средний,"Михайлов Тимур Павлович","Беляев Р.Т.",,Решён
ITHD_2000019,2025-10-11 10:18:19,2025-10-11 11:00:19,2025-10-11 14:58:28,Компьютеры и периферия,Инцидент,"Требуется настройка VPN-подключения для удалённой работы нового сотрудника",Средний,"Иванов Алексей Николаевич","Захарова Л.А.","Семенова Н.Г.",Закрыт
ITHD_2000051,2026-01-24 20:07:04,2026-01-24 20:50:04,2026-01-25 07:24:56,Телефония,Ремонт,"Требуется настройка VPN-подключения для удалённой работы нового сотрудника",Критичный,"Иванов Алексей Николаевич","Захарова Л.А.","Семенова Н.Г.",Закрыт
ITHD_2000352,2026-01-31 18:19:45,2026-01-31 18:38:45,2026-01-31 23:07:37,Сервер и СХД,Выдача и установка,"Неисправен монитор, вертикальная полоса на экране, требуется замена",Критичный,"Морозов Дмитрий Олегович","Смирнов И.И.","Федоров Е.М.",Закрыт
ITHD_2000093,2026-01-16 16:23:47,2026-01-16 16:58:47,2026-01-16 23:15:05,Доступ и права,Настройка,"Добавление нового пользователя в Active Directory и настройка групповых политик",Низкий,"Петрова Светлана Константиновна","Попова Е.С.","Семенова Н.Г.",Закрыт
ITHD_2000146,2025-10-24 13:52:06,2025-10-24 14:29:06,2025-10-24 22:35:28,Программное обеспечение,Выдача и установка,"Замена вышедшего из строя блока питания в рабочей станции инженерного отдела",Низкий,"Петрова Светлана Константиновна","Смирнов И.И.","Романов А.И.",Закрыт
ITHD_2000307,2026-03-02 17:02:38,2026-03-02 17:05:38,2026-03-02 20:21:34,Сетевое оборудование,Настройка,"Проблема с запуском специализированного ПО AutoCAD, ошибка лицензирования",Средний,"Морозов Дмитрий Олегович","Беляев Р.Т.","Семенова Н.Г.",Закрыт
ITHD_2000258,2026-03-28 13:30:35,2026-03-28 13:52:35,2026-03-28 19:46:47,Сетевое оборудование,Ремонт,"Добавление нового пользователя в Active Directory и настройка групповых политик",Средний,"Козлова Елена Анатольевна","Захарова Л.А.","Федоров Е.М.",Решён
ITHD_2000128,2025-11-01 16:21:59,2025-11-01 16:41:59,2025-11-01 22:11:18,Доступ и права,Запрос,"Неисправен монитор, вертикальная полоса на экране, требуется замена",Низкий,"Петрова Светлана Константиновна","Соколова О.П.","Семенова Н.Г.",Закрыт
ITHD_2000103,2025-10-29 15:57:05,2025-10-29 16:08:05,,Сетевое оборудование,Настройка,"Замена вышедшего из строя блока питания в рабочей станции инженерного отдела",Высокий,"Петрова Светлана Константиновна","Орлова Д.Ю.",,Создание заявки
ITHD_2000450,2025-11-06 15:12:10,2025-11-06 15:36:10,2025-11-06 17:56:18,Сервер и СХД,Запрос,"Не работает IP-телефон на рабочем месте руководителя проектов, нет тонального сигнала",Средний,"Михайлов Тимур Павлович","Кузнецов А.В.",,Закрыт
ITHD_2000405,2026-02-18 15:05:52,2026-02-18 15:25:52,,Программное обеспечение,Настройка,"Настройка двухфакторной аутентификации для входа в корпоративную ERP-систему",Средний,"Новикова Регина Вячеславовна","Смирнов И.И.",,Ожидание клиента
ITHD_2000184,2025-10-05 18:04:31,2025-10-05 18:44:31,2025-10-06 01:14:11,Доступ и права,Запрос,"Не работает принтер в переговорной комнате 3, сотрудники не могут распечатать документы",Критичный,"Сидоров Владимир Григорьевич","Попова Е.С.","Романов А.И.",Закрыт
ITHD_2000291,2026-04-06 18:06:22,2026-04-06 18:10:22,2026-04-07 00:21:59,Сервер и СХД,Запрос,"Сотрудник не может войти в систему 1C после смены пароля, блокировка учётной записи",Средний,"Морозов Дмитрий Олегович","Соколова О.П.",,Решён
ITHD_2000311,2026-02-11 13:45:13,2026-02-11 14:01:13,2026-02-11 16:48:14,Телефония,Настройка,"Установка и обновление антивирусного ПО на рабочих станциях отдела кадров",Высокий,"Морозов Дмитрий Олегович","Беляев Р.Т.",,Закрыт
ITHD_2000023,2025-11-25 19:02:45,2025-11-25 19:20:45,,Сетевое оборудование,Консультация,"Необходима установка Microsoft Office 365 на новое рабочее место в отделе продаж",Высокий,"Иванов Алексей Николаевич","Соколова О.П.","Семенова Н.Г.",Ожидание клиента
ITHD_2000040,2025-10-06 21:15:17,2025-10-06 21:26:17,2025-10-07 00:19:41,Доступ и права,Ремонт,"Проблема с запуском специализированного ПО AutoCAD, ошибка лицензирования",Высокий,"Иванов Алексей Николаевич","Орлова Д.Ю.","Семенова Н.Г.",Закрыт
ITHD_2000083,2026-01-11 13:19:04,2026-01-11 14:02:04,2026-01-12 01:01:34,Компьютеры и периферия,Консультация,"Сбой RAID-массива на файловом сервере, необходима диагностика и восстановление",Средний,"Петрова Светлана Константиновна","Николаев В.К.",,Закрыт
ITHD_2000178,2025-10-03 12:58:02,2025-10-03 13:33:02,2025-10-03 15:58:17,Программное обеспечение,Выдача и установка,"Расширение прав доступа к файловому серверу для группы аналитиков данных",Средний,"Сидоров Владимир Григорьевич","Захарова Л.А.","Федоров Е.М.",Закрыт
ITHD_2000435,2026-01-28 11:26:43,2026-01-28 11:30:43,2026-01-28 18:23:48,Сервер и СХД,Консультация,"Восстановление случайно удалённых файлов проекта из резервной копии NAS",Средний,"Михайлов Тимур Павлович","Попова Е.С.",,Закрыт
ITHD_2000438,2025-11-15 15:53:19,2025-11-15 16:12:19,2025-11-15 21:37:13,Сервер и СХД,Запрос,"Требуется настройка VPN-подключения для удалённой работы нового сотрудника",Средний,"Михайлов Тимур Павлович","Смирнов И.И.",,Закрыт
ITHD_2000046,2025-11-27 09:43:01,2025-11-27 10:18:01,2025-11-27 17:26:20,Сетевое оборудование,Настройка,"Сотрудник не может войти в систему 1C после смены пароля, блокировка учётной записи",Средний,"Иванов Алексей Николаевич","Кузнецов А.В.","Семенова Н.Г.",Закрыт
ITHD_2000220,2025-10-20 16:49:34,2025-10-20 17:01:34,2025-10-20 23:30:57,Сервер и СХД,Запрос,"Настройка двухфакторной аутентификации для входа в корпоративную ERP-систему",Низкий,"Сидоров Владимир Григорьевич","Жуков С.Н.","Романов А.И.",Закрыт
ITHD_2000317,2026-02-05 11:28:24,2026-02-05 12:06:24,2026-02-05 14:20:38,Сетевое оборудование,Инцидент,"Сбой RAID-массива на файловом сервере, необходима диагностика и восстановление",Низкий,"Морозов Дмитрий Олегович","Смирнов И.И.","Семенова Н.Г.",Закрыт
ITHD_2000491,2026-04-14 18:25:31,2026-04-14 19:06:31,2026-04-14 21:50:53,Телефония,Инцидент,"Настройка почтового клиента Outlook для нового сотрудника отдела бухгалтерии",Низкий,"Михайлов Тимур Павлович","Кузнецов А.В.","Семенова Н.Г.",Закрыт
ITHD_2000419,2026-03-15 10:59:05,2026-03-15 11:25:05,2026-03-15 15:45:34,Компьютеры и периферия,Запрос,"Проблема с запуском специализированного ПО AutoCAD, ошибка лицензирования",Средний,"Новикова Регина Вячеславовна","Захарова Л.А.","Семенова Н.Г.",Закрыт
ITHD_2000136,2026-02-16 13:23:59,2026-02-16 14:03:59,2026-02-17 00:13:26,Телефония,Настройка,"Замена клавиатуры и мыши на рабочем месте, старое оборудование вышло из строя",Низкий,"Петрова Светлана Константиновна","Захарова Л.А.","Романов А.И.",Закрыт
ITHD_2000130,2026-01-12 17:53:42,2026-01-12 18:37:42,2026-01-13 02:09:43,Сервер и СХД,Настройка,"Неисправен монитор, вертикальная полоса на экране, требуется замена",Средний,"Петрова Светлана Константиновна","Волкова М.Д.",,Закрыт
ITHD_2000381,2026-01-11 13:40:29,2026-01-11 13:54:29,2026-01-11 20:39:35,Сетевое оборудование,Инцидент,"Перенос пользовательских данных и настроек с устаревшего компьютера на новый",Высокий,"Новикова Регина Вячеславовна","Кузнецов А.В.","Романов А.И.",Закрыт
ITHD_2000323,2025-10-29 11:45:44,2025-10-29 11:55:44,2025-10-29 16:02:04,Компьютеры и периферия,Выдача и установка,"Сотрудник не может войти в систему 1C после смены пароля, блокировка учётной записи",Низкий,"Морозов Дмитрий Олегович","Орлова Д.Ю.",,Закрыт
ITHD_2000315,2026-02-14 10:23:51,2026-02-14 10:51:51,2026-02-14 15:19:29,Сервер и СХД,Настройка,"Не работает принтер в переговорной комнате 3, сотрудники не могут распечатать документы",Средний,"Морозов Дмитрий Олегович","Николаев В.К.","Романов А.И.",Закрыт
ITHD_2000105,2026-01-24 18:08:18,2026-01-24 18:33:18,2026-01-25 04:02:18,Сетевое оборудование,Настройка,"Восстановление случайно удалённых файлов проекта из резервной копии NAS",Средний,"Петрова Светлана Константиновна","Жуков С.Н.",,Закрыт
ITHD_2000377,2026-04-02 14:46:20,2026-04-02 15:18:20,,Сервер и СХД,Консультация,"Не работает IP-телефон на рабочем месте руководителя проектов, нет тонального сигнала",Критичный,"Новикова Регина Вячеславовна","Соколова О.П.","Федоров Е.М.",В работе
ITHD_2000058,2025-12-22 13:18:23,2025-12-22 13:43:23,,Компьютеры и периферия,Выдача и установка,"Перенос пользовательских данных и настроек с устаревшего компьютера на новый",Высокий,"Иванов Алексей Николаевич","Попова Е.С.","Семенова Н.Г.",Ожидание клиента
ITHD_2000447,2025-11-23 17:43:44,2025-11-23 18:03:44,2025-11-23 21:21:25,Сетевое оборудование,Консультация,"Расширение прав доступа к файловому серверу для группы аналитиков данных",Низкий,"Михайлов Тимур Павлович","Орлова Д.Ю.","Семенова Н.Г.",Закрыт
ITHD_2000094,2025-12-31 09:56:55,2025-12-31 10:29:55,2025-12-31 20:30:27,Доступ и права,Запрос,"Неисправен монитор, вертикальная полоса на экране, требуется замена",Низкий,"Петрова Светлана Константиновна","Орлова Д.Ю.","Семенова Н.Г.",Закрыт
